M,CdX,Doping Site,?H(Cd-rich),?H(Mod),?H(Te-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Descriptors -->,Period,Group,Site,Delta Ion. Rad.,Delta At. Wt.,Delta Cov. Rad.,Delta Ion. En.,Delta At. Rad.,Delta EA,Delta EN,Delta At. Num.,Delta Val.,# Cd Neighbors,# Te Neighbors,Corrected VBM (eV),Corrected CBM (eV),?H(Cd-rich),?H(Mod),?H(Te-rich)
Cu,CdTe,M_Te,3.371,3.284,4.039,-0.824,-0.528,0.846,1.160,1.580,1.939,,,4,11,1,-0.24,-64.144,-0.19,-123.8,-0.322,-71.85,-0.2,-23,-4,4,0,2.391,2.376,3.008,2.921,3.676
Zn,CdTe,M_Te,2.565,3.513,4.463,-0.683,0.711,0.771,1.022,1.394,1.881,,,4,12,1,-0.23,-62.21,-0.11,37.2,-0.268,-190.15,-0.45,-22,-4,4,0,2.857,2.842,1.859,2.807,3.757
Y,CdTe,M_Te,5.302,6.523,8.189,-0.182,0.282,0.708,1.306,1.766,2.064,,,5,3,1,0.05,-38.6941,0.26,-253.2,0.21,-190.15,-0.88,-13,-3,4,0,3.134,3.119,5.041,6.263,7.928
Zr,CdTe,M_Te,5.953,7.111,8.923,-0.571,-0.168,0.719,1.054,1.387,2.151,,,5,4,1,-0.13,-36.376,0.09,-209.2,0,-140.15,-0.77,-12,-2,4,0,2.717,2.702,5.606,6.764,8.576
Nb,CdTe,M_Te,5.778,6.581,8.266,-0.636,-0.248,0.351,1.223,1.663,1.973,,,5,5,1,-0.33,-34.6936,-0.02,-205.2,-0.171,-94.15,-0.5,-11,-1,4,0,2.705,2.705,5.636,6.440,8.124
Mo,CdTe,M_Te,6.016,6.490,7.717,-0.668,-0.009,0.680,1.065,1.400,2.089,,,5,6,1,-0.38,-31.66,-0.06,-184.3,-0.238,-94.15,0.06,-10,0,4,0,2.664,2.649,5.680,6.155,7.381
Tc,CdTe,M_Te,5.587,6.061,6.536,-0.565,-0.360,0.144,0.622,1.727,2.185,,,5,7,1,-0.41,-29.6,-0.09,-167.2,-0.242,-120.15,-0.2,-9,1,4,0,2.248,2.233,5.399,5.874,6.348
Ru,CdTe,M_Te,4.654,5.187,6.612,-0.825,-0.518,-0.237,0.949,1.410,2.066,,,5,8,1,-0.35,-26.53,-0.11,-158.2,-0.275,-80.15,0.1,-8,2,4,0,1.793,2.243,4.630,5.164,6.588
Rh,CdTe,M_Te,4.114,5.056,6.481,-0.833,-0.570,-0.260,0.249,1.704,2.101,,,5,9,1,-0.3,-24.6945,-0.11,-149.2,-0.255,-70.15,0.18,-7,0,4,0,1.673,1.658,4.069,5.012,6.436
Pd,CdTe,M_Te,2.388,2.388,3.327,-0.876,-0.593,-0.281,1.332,1.698,2.195,,,5,10,1,-0.33,-21.18,-0.08,-64.2,-0.225,-130.15,0.1,-6,-2,4,0,1.598,2.424,2.434,2.435,3.374
Ag,CdTe,M_Te,2.484,2.584,3.182,-0.805,-0.510,0.988,1.325,1.763,2.119,,,5,11,1,0.18,-19.732,-0.02,-138.2,-0.156,-64.45,-0.17,-5,-4,4,0,2.634,2.619,2.110,2.210,2.808
Cd,CdTe,M_Te,2.139,3.088,4.036,-0.679,0.745,0.938,1.217,1.554,2.041,,,5,12,1,-0.02,-15.19,0.05,-1.5,-0.111,-190.15,-0.41,-4,-4,4,0,3.065,3.050,1.449,2.397,3.346
La,CdTe,M_Te,6.258,7.443,8.913,-0.065,0.438,0.950,1.474,1.907,2.176,,,6,3,1,0.19,11.3055,-0.11,-331.1,0.277,-140.15,-1,5,-3,4,0,3.352,3.337,6.138,7.323,8.793
Hf,CdTe,M_Te,5.159,5.633,6.107,-0.603,-0.235,0.657,1.021,1.363,2.150,,,6,4,1,-0.14,50.89,0.08,-227.2,-0.036,-190.15,-0.8,20,-2,4,0,2.670,2.655,4.798,5.273,5.747
Ta,CdTe,M_Te,6.637,7.111,7.585,-0.716,-0.327,0.404,1.158,1.383,2.072,,,6,5,1,-0.33,53.3479,-0.02,-108.2,-0.17,-130.15,-0.6,21,-1,4,0,2.507,2.492,6.406,6.881,7.355
W,CdTe,M_Te,7.942,8.417,8.891,-0.785,0.414,0.414,0.824,0.824,2.071,,,6,6,1,-0.37,56.25,-0.06,-99.2,-0.23,-130.15,0.26,22,0,4,0,2.111,2.096,7.727,8.201,8.676
Re,CdTe,M_Te,6.749,7.224,7.698,0.675,-0.492,-1.051,0.609,1.718,2.179,,,6,7,1,-0.44,58.607,-0.08,-109.2,-0.23,-176.15,-0.2,23,1,4,0,2.255,2.240,6.562,7.036,7.510
Os,CdTe,M_Te,5.718,6.192,6.666,-0.676,-0.676,-0.235,0.970,1.437,2.067,,,6,8,1,-0.34,62.6,-0.1,-29.2,-0.26,-80.15,0.1,24,2,4,0,1.728,2.223,5.722,6.196,6.670
Ir,CdTe,M_Te,3.951,4.425,5.231,-0.801,-0.553,-0.255,0.280,1.692,2.106,,,6,9,1,-0.34,64.62,-0.09,10.8,-0.243,-40.15,0.1,25,-3,4,0,1.653,1.638,3.935,4.409,5.215
Pt,CdTe,M_Te,2.182,2.182,3.492,-0.835,-0.577,-0.271,1.330,1.715,2.218,,,6,10,1,-0.34,67.48,-0.06,0.8,-0.22,15.15,0.18,26,-2,4,0,1.300,2.410,2.258,2.258,3.568
Au,CdTe,M_Te,2.562,2.009,2.653,-0.802,-0.505,0.979,1.322,1.754,2.129,,,6,11,1,-0.12,69.3665,-0.02,20.9,-0.158,32.59,0.44,27,-3,4,0,2.627,2.612,2.240,1.687,2.331
Hg,CdTe,M_Te,2.367,2.525,3.293,-0.668,0.825,0.984,1.323,1.595,2.084,,,6,12,1,0.05,72.99,0.13,137.8,0,-190.15,-0.1,28,-4,4,0,3.141,3.126,1.716,1.874,2.642
Li,CdTe,M_i_Cd_site,1.338,1.344,1.582,-0.750,-0.435,1.262,1.728,2.103,2.569,,,2,1,0.25,0.76,6.941,1.23,520.2,1.55,59.8,0.98,3,1,4,3,3.729,3.714,1.615,1.621,1.859
Na,CdTe,M_i_Cd_site,0.958,1.195,1.578,-0.716,-0.403,1.295,1.762,2.143,2.610,,,3,1,0.25,1.02,22.98977,1.54,495.8,1.9,52.7,0.93,11,1,4,3,3.973,3.958,1.346,1.583,1.966
K,CdTe,M_i_Cd_site,1.557,1.794,2.290,-0.665,-0.352,1.352,1.812,2.180,2.617,,,4,1,0.25,1.51,39.0983,2.03,418.8,2.35,48.36,0.82,19,1,4,3,4.190,4.175,2.140,2.377,2.873
Rb,CdTe,M_i_Cd_site,2.070,2.307,2.936,-0.632,-0.324,1.382,1.829,2.211,2.634,,,5,1,0.25,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4,4,3,4.450,4.435,2.824,3.061,3.690
Cs,CdTe,M_i_Cd_site,2.899,3.136,3.830,-0.587,-0.274,1.417,1.839,2.257,2.649,,,6,1,0.25,1.74,132.9054,2.35,375.7,2.67,45.49,0.79,55,1,4,3,4.000,4.000,4.035,4.272,4.966
Be,CdTe,M_i_Cd_site,3.310,3.665,4.020,-0.689,0.183,0.754,1.629,1.983,2.344,,,2,2,0.25,0.45,9.01218,0.9,899.4,1.12,-240,1.57,4,2,4,3,3.234,3.219,3.006,3.361,3.716
Mg,CdTe,M_i_Cd_site,2.901,2.998,3.473,-0.670,0.899,1.349,1.820,2.177,2.477,,,3,2,0.25,0.72,24.305,1.36,737.7,1.6,-230,1.31,12,2,4,3,3.642,3.657,2.711,2.808,3.283
Ca,CdTe,M_i_Cd_site,2.547,3.021,3.496,-0.616,1.063,1.500,1.900,2.213,2.505,,,4,2,0.25,1,40.078,1.74,589.8,1.97,-156,1,20,2,4,3,4.121,4.226,3.197,3.671,4.146
Sr,CdTe,M_i_Cd_site,2.780,3.254,3.729,-0.589,1.073,1.514,1.932,2.248,2.530,,,5,2,0.25,1.26,87.62,1.91,549.5,2.15,-168,0.95,38,2,4,3,4.240,4.375,3.554,4.028,4.503
Ba,CdTe,M_i_Cd_site,3.274,3.748,4.223,-0.543,1.091,1.531,1.944,2.295,2.606,,,6,2,0.25,1.42,137.33,1.98,502.9,2.22,-52,0.89,56,2,4,3,4.383,4.383,4.187,4.661,5.136
B,CdTe,M_i_Cd_site,5.207,5.207,5.207,-0.772,-0.464,1.052,1.374,1.633,2.105,,,2,13,0.25,0.23,10.811,0.82,800.6,0.98,27,2.04,5,3,4,3,3.049,3.034,4.738,4.738,4.738
Al,CdTe,M_i_Cd_site,2.371,2.783,3.517,-0.539,-0.185,1.348,1.742,2.106,2.475,,,3,13,0.25,0.54,26.98154,1.18,577.6,1.43,45,1.61,13,3,4,3,3.742,3.727,2.166,2.578,3.312
Ga,CdTe,M_i_Cd_site,1.617,2.002,2.575,-0.724,-0.402,1.336,1.733,2.090,2.488,,,4,13,0.25,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,4,3,3.673,3.658,1.506,1.892,2.464
In,CdTe,M_i_Cd_site,2.553,2.173,2.844,-0.637,-0.257,1.381,1.783,2.133,2.539,,,5,13,0.25,0.8,114.82,1.44,558.3,1.66,29,1.78,49,3,4,3,3.941,3.926,2.555,2.174,2.845
Tl,CdTe,M_i_Cd_site,1.804,2.007,2.278,-0.660,-0.344,1.386,1.802,2.141,2.576,,,6,13,0.25,1.59,204.383,1.48,589.3,1.71,30,2.04,81,3,4,3,3.983,3.968,1.987,2.191,2.461
C,CdTe,M_i_Cd_site,6.861,6.861,6.861,-0.694,-0.315,0.073,0.477,1.591,1.899,,,2,14,0.25,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4,4,3,2.745,2.730,6.559,6.559,6.559
Si,CdTe,M_i_Cd_site,3.784,3.784,3.784,-0.664,0.888,1.173,1.422,1.824,2.205,,,3,14,0.25,0.26,28.0855,1.11,786.4,1.32,133.6,1.9,14,4,4,3,3.267,3.252,2.792,2.792,2.792
Ge,CdTe,M_i_Cd_site,3.071,3.071,3.384,-0.686,0.907,1.315,1.525,1.879,2.270,,,4,14,0.25,0.53,72.61,1.22,762.1,1.37,120,2.01,32,4,4,3,3.398,3.383,2.128,2.128,2.442
Sn,CdTe,M_i_Cd_site,2.808,3.082,3.557,-0.606,1.001,1.412,1.769,2.109,2.379,,,5,14,0.25,0.71,118.71,1.41,708.6,1.62,121,1.96,50,4,4,3,3.882,3.867,2.285,2.559,3.034
Pb,CdTe,M_i_Cd_site,2.638,3.112,3.587,-0.578,1.049,1.462,1.827,2.156,2.443,,,6,14,0.25,1.19,207.2,1.47,715.5,1.75,110,2.33,82,4,4,3,3.990,3.975,2.370,2.844,3.319
N,CdTe,M_i_Cd_site,4.408,4.329,4.250,-0.771,-0.498,-0.179,0.731,0.968,1.333,,,2,15,0.25,1.71,14.0067,0.75,1402.3,0.92,-7,3.04,7,5,4,3,2.002,1.987,4.815,4.736,4.657
P,CdTe,M_i_Cd_site,3.747,3.510,3.454,0.022,0.044,0.312,1.086,1.396,1.769,,,3,15,0.25,0.17,30.97376,1.06,1011.7,1.28,71.7,2.19,15,5,4,3,3.212,3.197,2.942,2.705,2.650
As,CdTe,M_i_Cd_site,3.683,3.160,3.183,0.159,0.299,0.540,1.214,1.545,1.898,,,4,15,0.25,0.58,74.9216,1.2,947,1.39,77,2.16,33,5,4,3,3.524,3.508,2.750,2.227,2.250
Sb,CdTe,M_i_Cd_site,4.910,5.621,6.333,0.449,0.681,0.929,1.389,1.775,2.091,,,5,15,0.25,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5,4,3,3.854,3.839,3.996,4.707,5.420
Bi,CdTe,M_i_Cd_site,3.531,3.531,4.128,0.542,0.839,1.093,1.480,1.885,2.226,,,6,15,0.25,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5,4,3,4.147,4.132,2.666,2.666,3.263
O,CdTe,M_i_Cd_site,3.664,3.190,2.969,-0.800,-0.525,-0.256,0.037,0.309,2.041,,,2,16,0.25,1.4,15.9994,0.73,1313.9,0.73,141.1,3.44,8,2,4,3,1.735,1.735,3.980,3.506,3.284
S,CdTe,M_i_Cd_site,3.986,3.512,3.038,-0.719,-0.406,0.041,0.431,0.785,2.102,,,3,16,0.25,0.29,32.066,1.02,999.58,1.27,200.42,2.58,16,6,4,3,2.315,2.540,3.290,2.816,2.342
Se,CdTe,M_i_Cd_site,3.950,3.476,3.002,-0.539,-0.297,0.261,0.647,1.009,2.136,,,4,16,0.25,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6,4,3,2.681,2.801,3.127,2.653,2.179
Te,CdTe,M_i_Cd_site,4.159,3.684,3.210,-0.135,0.045,0.606,0.951,1.334,2.222,,,5,16,0.25,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6,4,3,3.864,3.849,3.427,2.953,2.478
F,CdTe,M_i_Cd_site,1.718,1.481,1.244,-0.850,-0.563,-0.289,0.029,1.771,2.231,,,2,17,0.25,1.33,18.9984,0.72,1681,0.72,328,3.98,9,1,4,3,1.562,1.547,2.213,1.976,1.739
Cl,CdTe,M_i_Cd_site,2.479,2.242,2.005,-0.773,-0.470,-0.194,0.120,1.856,2.319,,,3,17,0.25,1.81,35.4527,0.99,1251.1,0.99,348.8,3.16,17,7,4,3,2.050,2.035,2.616,2.379,2.142
Br,CdTe,M_i_Cd_site,2.999,2.762,2.525,-0.689,-0.386,-0.116,0.182,1.875,2.338,,,4,17,0.25,1.96,79.904,1.14,1139.9,1.14,324.6,2.96,35,7,4,3,2.603,2.587,3.017,2.780,2.543
I,CdTe,M_i_Cd_site,3.811,3.574,3.337,-0.590,-0.210,0.139,0.471,1.922,2.384,,,5,17,0.25,2.2,126.9045,1.33,1008.4,1.33,295.3,2.66,53,7,4,3,3.556,3.541,4.081,3.844,3.607
Sc,CdTe,M_i_Cd_site,3.479,4.190,4.902,0.409,0.994,1.449,1.787,2.126,2.494,,,4,3,0.25,0.75,44.9559,1.44,631,1.606,18.1,1.36,21,3,4,3,3.903,3.888,3.577,4.288,5.000
Ti,CdTe,M_i_Cd_site,3.008,3.734,4.684,-0.291,0.488,1.312,1.738,2.112,2.536,,,4,4,0.25,0.61,47.88,1.32,658,1.448,20,1.54,22,4,4,3,3.762,3.747,3.283,4.009,4.959
V,CdTe,M_i_Cd_site,2.966,3.444,4.309,-0.685,0.650,1.303,2.545,2.545,2.700,,,4,5,0.25,0.54,50.9415,1.22,650,1.321,50,1.63,23,5,4,3,3.691,3.676,2.844,3.322,4.187
Cr,CdTe,M_i_Cd_site,2.065,2.705,3.470,-0.636,-0.055,1.248,1.715,2.088,2.558,,,4,6,0.25,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6,4,3,3.742,3.727,2.085,2.724,3.490
Mn,CdTe,M_i_Cd_site,2.490,2.964,3.627,-0.678,0.761,1.317,1.719,2.081,2.444,,,4,7,0.25,0.67,54.938,1.17,717.4,1.24,0,1.55,25,7,4,3,3.589,3.574,2.260,2.734,3.397
Fe,CdTe,M_i_Cd_site,2.807,3.281,4.187,-0.629,0.096,1.065,1.582,1.962,2.331,,,4,8,0.25,0.55,55.847,1.17,759.3,1.241,24,1.83,26,6,4,3,3.273,3.258,2.626,3.100,4.006
Co,CdTe,M_i_Cd_site,2.570,3.050,4.000,-0.713,-0.356,1.139,1.598,1.992,2.362,,,4,9,0.25,0.65,58.9332,1.16,758,1.253,70,1.88,27,3,4,3,3.381,3.366,2.327,2.807,3.757
Ni,CdTe,M_i_Cd_site,3.163,2.906,3.597,-0.657,-0.232,0.650,1.474,1.883,2.303,,,4,10,0.25,0.69,58.6934,1.15,736.7,1.246,111,1.91,28,3,4,3,3.036,3.021,2.872,2.615,3.306
Cu,CdTe,M_i_Cd_site,2.932,2.370,2.651,-0.765,-0.441,1.043,1.420,2.025,2.339,,,4,11,0.25,0.73,63.456,1.17,745.4,1.278,118.3,1.9,29,2,4,3,3.381,3.366,2.638,2.077,2.357
Zn,CdTe,M_i_Cd_site,1.674,2.148,2.623,-0.681,0.042,0.519,1.650,2.037,2.386,,,4,12,0.25,0.74,65.39,1.25,906.4,1.332,0,1.65,30,2,4,3,3.213,3.198,1.593,2.067,2.542
Y,CdTe,M_i_Cd_site,3.144,3.891,5.082,0.723,1.159,1.546,1.859,2.234,2.529,,,5,3,0.25,1.02,88.9059,1.62,616,1.81,0,1.22,39,3,4,3,4.111,4.096,3.279,4.027,5.217
Zr,CdTe,M_i_Cd_site,3.618,4.302,5.639,0.237,0.738,1.341,1.762,2.120,2.570,,,5,4,0.25,0.84,91.224,1.45,660,1.6,50,1.33,40,4,4,3,3.845,3.830,3.954,4.637,5.975
Nb,CdTe,M_i_Cd_site,4.188,4.517,5.727,-0.385,0.944,1.423,1.742,2.179,2.315,,,5,5,0.25,0.64,92.9064,1.34,664,1.429,96,1.6,41,5,4,3,3.801,3.786,4.139,4.468,5.678
Mo,CdTe,M_i_Cd_site,5.242,5.242,5.995,0.127,0.441,1.675,1.309,2.063,2.404,,,5,6,0.25,0.59,95.94,1.3,684.9,1.362,96,2.16,42,6,4,3,3.651,3.636,4.703,4.703,5.455
Tc,CdTe,M_i_Cd_site,4.754,4.754,4.754,-0.136,0.179,0.867,1.476,1.907,2.256,,,5,7,0.25,0.56,98,1.27,702,1.358,70,1.9,43,7,4,3,3.292,3.277,4.517,4.517,4.517
Ru,CdTe,M_i_Cd_site,3.808,3.867,4.817,-0.632,-0.179,0.428,1.510,1.965,2.331,,,5,8,0.25,0.62,101.07,1.25,711,1.325,110,2.2,44,8,4,3,2.957,2.942,3.836,3.895,4.845
Rh,CdTe,M_i_Cd_site,3.427,3.895,4.845,-0.528,-0.378,0.685,1.311,1.827,2.221,,,5,9,0.25,0.67,102.9055,1.25,720,1.345,120,2.28,45,6,4,3,2.730,2.715,3.030,3.499,4.449
Pd,CdTe,M_i_Cd_site,2.099,1.625,2.090,-0.718,-0.398,0.025,1.485,1.944,2.350,,,5,10,0.25,0.64,106.42,1.28,805,1.375,60,2.2,46,4,4,3,2.694,2.679,1.945,1.471,1.935
Ag,CdTe,M_i_Cd_site,2.042,1.668,1.791,-0.744,-0.424,1.184,1.604,2.089,2.481,,,5,11,0.25,1.15,107.868,1.34,731,1.444,125.7,1.93,47,2,4,3,3.674,3.659,1.872,1.497,1.621
Cd,CdTe,M_i_Cd_site,1.635,2.109,2.584,-0.650,0.404,0.840,1.715,2.078,2.420,,,5,12,0.25,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2,4,3,3.597,3.582,1.566,2.040,2.514
La,CdTe,M_i_Cd_site,3.559,4.270,5.266,0.685,1.122,1.571,1.927,2.235,2.558,,,6,3,0.25,1.16,138.9055,1.25,538.1,1.877,50,1.1,57,3,4,3,4.156,4.141,3.743,4.454,5.449
Hf,CdTe,M_i_Cd_site,3.614,3.614,3.614,0.480,0.905,1.348,1.755,2.122,2.529,,,6,4,0.25,0.83,178.49,1.44,642,1.564,0,1.3,72,4,4,3,3.813,3.798,3.559,3.559,3.559
Ta,CdTe,M_i_Cd_site,5.343,5.343,5.343,-0.158,0.968,1.407,1.753,2.245,2.329,,,6,5,0.25,0.64,180.9479,1.34,761,1.43,60,1.5,73,5,4,3,3.654,3.639,5.215,5.215,5.215
W,CdTe,M_i_Cd_site,6.851,6.851,6.851,0.472,0.795,1.255,1.540,1.961,2.314,,,6,6,0.25,0.6,183.85,1.3,770,1.37,60,2.36,74,6,4,3,3.552,3.537,6.265,6.265,6.265
Re,CdTe,M_i_Cd_site,6.668,6.668,6.668,0.049,0.265,1.149,1.636,1.810,2.352,,,6,7,0.25,0.53,186.207,1.28,760,1.37,14,1.9,75,7,4,3,3.226,3.211,6.144,6.144,6.144
Os,CdTe,M_i_Cd_site,5.862,5.862,5.862,-0.553,0.568,0.693,1.410,1.882,2.327,,,6,8,0.25,0.63,190.2,1.26,840,1.34,110,2.2,76,8,4,3,2.797,2.857,5.475,5.475,5.475
Ir,CdTe,M_i_Cd_site,4.311,4.311,4.642,-0.182,-0.068,0.815,1.337,1.794,2.117,,,6,9,0.25,0.63,192.22,1.27,880,1.357,150,2.2,77,3,4,3,2.786,2.771,3.568,3.568,3.900
Pt,CdTe,M_i_Cd_site,3.077,2.603,3.439,-0.644,-0.290,0.162,1.312,1.742,2.311,,,6,10,0.25,0.63,195.08,1.3,870,1.38,205.3,2.28,78,4,4,3,2.810,2.795,2.629,2.155,2.991
Au,CdTe,M_i_Cd_site,2.904,1.877,2.047,-0.745,-0.420,0.736,1.124,1.988,2.329,,,6,11,0.25,0.85,196.9665,1.34,890.1,1.442,222.74,2.54,79,3,4,3,3.287,3.272,2.552,1.525,1.695
Hg,CdTe,M_i_Cd_site,1.782,1.466,1.759,-0.647,-0.150,0.286,1.660,2.060,2.415,,,6,12,0.25,1.02,200.59,1.49,1007,1.6,0,2,80,2,4,3,3.249,3.264,1.896,1.579,1.873
Li,CdTe,M_i_Te_site,1.145,1.151,1.389,-0.764,-0.440,1.272,1.732,2.114,2.586,,,2,1,0.75,0.76,6.941,1.23,520.2,1.55,59.8,0.98,3,1,3,4,3.797,3.782,1.443,1.450,1.687
Na,CdTe,M_i_Te_site,1.046,1.283,1.667,-0.743,-0.423,1.292,1.762,2.151,2.698,,,3,1,0.75,1.02,22.98977,1.54,495.8,1.9,52.7,0.93,11,1,3,4,3.812,3.797,1.399,1.636,2.020
K,CdTe,M_i_Te_site,1.960,2.197,2.693,-0.652,-0.401,1.378,1.811,2.272,2.731,,,4,1,0.75,1.51,39.0983,2.03,418.8,2.35,48.36,0.82,19,1,3,4,3.785,3.770,2.480,2.717,3.213
Rb,CdTe,M_i_Te_site,2.576,2.813,3.442,-0.609,-0.298,1.407,1.878,2.303,2.732,,,5,1,0.75,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4,3,4,4.475,4.460,3.252,3.489,4.118
Cs,CdTe,M_i_Te_site,3.469,3.706,4.400,-0.547,-0.245,1.450,1.921,2.354,2.787,,,6,1,0.75,1.74,132.9054,2.35,375.7,2.67,45.49,0.79,55,1,3,4,4.000,4.000,3.738,3.975,4.669
Be,CdTe,M_i_Te_site,2.975,3.330,3.685,-0.645,0.970,1.276,1.670,1.998,2.513,,,2,2,0.75,0.45,9.01218,0.9,899.4,1.12,-240,1.57,4,2,3,4,3.660,3.645,2.625,2.980,3.335
Mg,CdTe,M_i_Te_site,2.732,2.829,3.304,-0.662,1.004,1.474,1.820,2.204,2.608,,,3,2,0.75,0.72,24.305,1.36,737.7,1.6,-230,1.31,12,2,3,4,4.014,3.999,2.915,3.013,3.488
Ca,CdTe,M_i_Te_site,2.816,3.290,3.765,-0.590,1.064,1.544,1.914,2.447,2.704,,,4,2,0.75,1,40.078,1.74,589.8,1.97,-156,1,20,2,3,4,4.170,4.155,3.527,4.001,4.476
Sr,CdTe,M_i_Te_site,3.296,3.770,4.245,-0.588,1.122,1.578,1.983,2.471,2.738,,,5,2,0.75,1.26,87.62,1.91,549.5,2.15,-168,0.95,38,2,3,4,4.127,4.112,4.175,4.649,5.124
Ba,CdTe,M_i_Te_site,3.946,4.420,4.895,-0.513,1.155,1.619,2.025,2.506,2.773,,,6,2,0.75,1.42,137.33,1.98,502.9,2.22,-52,0.89,56,2,3,4,3.963,3.948,5.037,5.511,5.986
B,CdTe,M_i_Te_site,4.843,4.843,4.843,0.915,0.218,1.202,1.581,2.073,2.395,,,2,13,0.75,0.23,10.811,0.82,800.6,0.98,27,2.04,5,3,3,4,3.685,3.670,4.663,4.663,4.663
Al,CdTe,M_i_Te_site,2.443,2.855,3.588,0.559,0.450,1.313,1.758,2.209,2.723,,,3,13,0.75,0.54,26.98154,1.18,577.6,1.43,45,1.61,13,3,3,4,4.068,4.053,2.624,3.036,3.770
Ga,CdTe,M_i_Te_site,1.742,2.127,2.700,-0.017,-0.110,1.301,1.753,2.231,2.682,,,4,13,0.75,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,3,4,3.939,3.924,1.993,2.379,2.951
In,CdTe,M_i_Te_site,2.842,2.462,3.132,0.064,0.158,1.360,1.814,2.280,2.741,,,5,13,0.75,0.8,114.82,1.44,558.3,1.66,29,1.78,49,3,3,4,4.019,4.004,3.232,2.852,3.523
Tl,CdTe,M_i_Te_site,2.178,2.382,2.653,-0.568,-0.277,1.392,1.852,2.267,2.754,,,6,13,0.75,1.59,204.383,1.48,589.3,1.71,30,2.04,81,3,3,4,4.033,4.018,2.668,2.872,3.143
C,CdTe,M_i_Te_site,6.943,6.943,6.943,-0.721,0.567,1.058,1.360,1.860,2.291,,,2,14,0.75,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4,3,4,3.426,3.411,6.847,6.847,6.847
Si,CdTe,M_i_Te_site,3.806,3.806,3.806,-0.674,0.923,1.365,1.841,2.168,2.523,,,3,14,0.75,0.26,28.0855,1.11,786.4,1.32,133.6,1.9,14,4,3,4,4.030,4.120,3.434,3.434,3.434
Ge,CdTe,M_i_Te_site,3.123,3.123,3.437,-0.637,1.017,1.385,1.852,2.171,2.149,,,4,14,0.75,0.53,72.61,1.22,762.1,1.37,120,2.01,32,4,3,4,4.028,4.088,2.827,2.827,3.141
Sn,CdTe,M_i_Te_site,3.168,3.442,3.917,-0.590,1.054,1.492,1.916,2.083,2.385,,,5,14,0.75,0.71,118.71,1.41,708.6,1.62,121,1.96,50,4,3,4,3.940,3.925,3.211,3.485,3.960
